Date,Open,High,Low,Close,Volume,Market Cap
09-06-2021,0.32642343,0.353762,0.31313147,0.34333093,3154332929,44616868086
08-06-2021,0.33182177,0.34143501,0.29666006,0.32768651,3918487504,42579375329
07-06-2021,0.37156634,0.37967759,0.32980618,0.33104994,3043974994,43011807788
06-06-2021,0.3716764,0.37679823,0.36725393,0.37180708,1836611411,48302113586
05-06-2021,0.37675215,0.39388581,0.36048813,0.3721774,3464039041,48345164969
04-06-2021,0.40098194,0.40098194,0.35144232,0.37632255,5889983048,48877461705
03-06-2021,0.42373928,0.44076295,0.37881918,0.39996289,6809900030,51942452228
02-06-2021,0.37030194,0.44459,0.35258814,0.42337353,11425588479,54976914119
01-06-2021,0.32574441,0.38307865,0.3123596,0.37007655,5796031087,48050998401
31-05-2021,0.30194858,0.32916285,0.29433017,0.32581045,2440829325,42298953606
